succodigo;turno;caja;venta;comprobante;vtaoperacion;clinombre;vtaestado;vtafecha;franja_turno;dia_venta;usulogin;condvtapos;delivery;articulo;descrip;descrip_alex;precio;cant;total;venta1;sucursal;desde;hasta;sucdescrip;desdeturno;hastaturno;desdecomanda;hastacomanda;filtrosobreventa;cliente
Pilar III;1;1;0;;VF;Consumidor Final;Anulado;3/12/2020 19:34;3;3;admin;XX;No;186;Baño de Chocolate;Mini postres;10;1;10;0;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;1;;VF;Consumidor Final;Normal;3/12/2020 22:20;3;3;Admin;EF;No;31;Pal.Limon x 1;Palitos;30;1;30;1;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;2;;VF;Consumidor Final;Normal;3/12/2020 22:21;3;3;Admin;EF;No;31;Pal.Limon x 1;Palitos;30;1;30;2;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;3;;VF;Consumidor Final;Normal;3/12/2020 22:24;3;3;Admin;EF;No;5;Cuc. Grido 2b;Mini postres;120;1;120;3;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;4;;VF;Consumidor Final;Anulado;3/12/2020 22:24;3;3;Admin;XX;No;31;Pal.Limon x 1;Palitos;30;1;30;4;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;5;;VF;Consumidor Final;Normal;4/12/2020 15:30;2;4;Admin;EF;No;29;Pal.Frutilla x 1;Palitos;30;1;30;5;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;6;;VF;Consumidor Final;Normal;4/12/2020 18:07;3;4;admin;EF;No;3626;Grido Tops Aguila;Mini postres;15;1;15;6;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;7;;VF;Consumidor Final;Normal;4/12/2020 19:19;3;4;Admin;EF;No;19;B. Escoces x 1;Bon Bon;70;2;140;7;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;7;;VF;Consumidor Final;Normal;4/12/2020 19:19;3;4;Admin;EF;No;21;B. Suizo x 1;Bon Bon;70;2;140;7;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;8;;VF;Consumidor Final;Normal;4/12/2020 19:21;3;4;Admin;EF;No;29;Pal.Frutilla x 1;Palitos;30;2;60;8;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;9;;VF;Consumidor Final;Normal;4/12/2020 19:22;3;4;Admin;EF;No;200;Tent. Chocolate;Tentación;280;2;560;9;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;10;;VF;Consumidor Final;Normal;4/12/2020 19:23;3;4;Admin;EF;No;12;Grido Batido;Mini postres;130;2;260;10;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;11;;VF;Consumidor Final;Normal;4/12/2020 19:25;3;4;Admin;EF;No;346;Top Salsa Choc Mar;Top Cookie;15;2;30;11;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;12;;VF;Consumidor Final;Normal;4/12/2020 19:25;3;4;Admin;EF;No;50;1 Kilo;Helado por kilo;450;2;900;12;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;13;;VF;Consumidor Final;Normal;4/12/2020 19:27;3;4;Admin;EF;No;1470;Torta Con Oreo;Postres;500;1;500;13;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;14;;VF;Consumidor Final;Normal;4/12/2020 19:29;3;4;Admin;EF;No;50;1 Kilo;Helado por kilo;450;1;450;14;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;15;;VF;Consumidor Final;Normal;4/12/2020 19:33;3;4;Admin;EF;No;52;1/4  Kilo;Helado por kilo;160;1;160;15;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;16;;VF;Consumidor Final;Normal;4/12/2020 19:37;3;4;Admin;EF;No;52;1/4  Kilo;Helado por kilo;160;1;160;16;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;17;;VF;Consumidor Final;Normal;4/12/2020 19:37;3;4;Admin;EF;No;90;Tent. Choc.C/Almen;Tentación;280;1;280;17;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;18;;VL;Consumidor Final;Normal;4/12/2020 19:40;3;4;Admin;EF;No;12;Grido Batido;Mini postres;130;2;260;18;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;18;;VL;Consumidor Final;Normal;4/12/2020 19:40;3;4;Admin;EF;No;325;Tacita 1 Bocha;Postres;80;1;80;18;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;19;;VF;Consumidor Final;Normal;4/12/2020 19:42;3;4;Admin;EF;No;29;Pal.Frutilla x 1;Palitos;30;3;90;19;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;20;;VL;Consumidor Final;Normal;4/12/2020 19:46;3;4;Admin;EF;No;36;Crocantino;Mini postres;380;1;380;20;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;20;;VL;Consumidor Final;Normal;4/12/2020 19:46;3;4;Admin;EF;No;26;Cremoso Frut. Caja;Cremoso;370;1;370;20;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;20;;VL;Consumidor Final;Normal;4/12/2020 19:46;3;4;Admin;EF;No;28;Pal.Frutilla Caja;Palitos;350;1;350;20;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;21;;VF;Consumidor Final;Normal;4/12/2020 19:46;3;4;Admin;EF;No;17;B. Crocante x 1;Bon Bon;50;1;50;21;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;21;;VF;Consumidor Final;Normal;4/12/2020 19:46;3;4;Admin;EF;No;76;Familiar Nro 4;Familiar;550;1;550;21;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;22;;VF;Consumidor Final;Normal;4/12/2020 19:48;3;4;Admin;EF;No;293;B Vainilla Sp Caja;Bon Bon;350;1;350;22;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;23;;VF;Consumidor Final;Normal;4/12/2020 19:49;3;4;Admin;EF;No;19;B. Escoces x 1;Bon Bon;70;1;70;23;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;24;;VF;Consumidor Final;Normal;4/12/2020 19:50;3;4;Admin;EF;No;32;Almendrado Caja;Almendrado;330;1;330;24;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;25;;VF;Consumidor Final;Normal;4/12/2020 19:51;3;4;Admin;EF;No;29;Pal.Frutilla x 1;Palitos;30;2;60;25;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;26;;VF;Consumidor Final;Normal;4/12/2020 19:52;3;4;Admin;EF;No;445;Palito Pico Dulce;Palitos;30;1;30;26;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;27;;VF;Consumidor Final;Normal;4/12/2020 19:53;3;4;Admin;EF;No;18;B. Escoces Caja;Bon Bon;450;1;450;27;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;27;;VF;Consumidor Final;Normal;4/12/2020 19:53;3;4;Admin;EF;No;1470;Torta Con Oreo;Postres;500;1;500;27;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;28;;VF;Consumidor Final;Normal;4/12/2020 19:57;3;4;Admin;EF;No;13;Capuccino Grido;Cafetería;150;4;600;28;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;29;;VF;Consumidor Final;Normal;4/12/2020 20:00;3;4;Admin;EF;No;19;B. Escoces x 1;Bon Bon;70;1;70;29;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;29;;VF;Consumidor Final;Normal;4/12/2020 20:00;3;4;Admin;EF;No;1468;Torta Grido Rellen;Postres;500;1;500;29;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;29;;VF;Consumidor Final;Normal;4/12/2020 20:00;3;4;Admin;EF;No;457;Ten Cad Choco Alme;Mini postres;330;1;330;29;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;29;;VF;Consumidor Final;Normal;4/12/2020 20:00;3;4;Admin;EF;No;87;Tent. Granizado;Tentación;280;1;280;29;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;29;;VF;Consumidor Final;Normal;4/12/2020 20:00;3;4;Admin;EF;No;199;Tent. D.De Leche;Tentación;280;2;560;29;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;30;;VF;Consumidor Final;Normal;4/12/2020 20:01;3;4;Admin;EF;No;293;B Vainilla Sp Caja;Bon Bon;350;1;350;30;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;31;;VF;Consumidor Final;Normal;4/12/2020 20:05;3;4;Admin;EF;No;16;B. Crocante Caja;Bon Bon;350;2;700;31;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;31;;VF;Consumidor Final;Normal;4/12/2020 20:05;3;4;Admin;EF;No;28;Pal.Frutilla Caja;Palitos;350;1;350;31;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;32;;VF;Consumidor Final;Normal;4/12/2020 20:07;3;4;Admin;EF;No;22;Pal.Bombon Caja;Palitos;550;2;1100;32;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;32;;VF;Consumidor Final;Normal;4/12/2020 20:07;3;4;Admin;EF;No;1470;Torta Con Oreo;Postres;500;2;1000;32;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;33;;VF;Consumidor Final;Normal;4/12/2020 20:09;3;4;Admin;EF;No;446;Palito Pico Dulce;Palitos;170;2;340;33;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;33;;VF;Consumidor Final;Normal;4/12/2020 20:09;3;4;Admin;EF;No;22;Pal.Bombon Caja;Palitos;550;1;550;33;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;33;;VF;Consumidor Final;Normal;4/12/2020 20:09;3;4;Admin;EF;No;32;Almendrado Caja;Almendrado;330;1;330;33;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;34;;VF;Consumidor Final;Normal;4/12/2020 20:10;3;4;Admin;EF;No;36;Crocantino;Mini postres;380;2;760;34;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;34;;VF;Consumidor Final;Normal;4/12/2020 20:10;3;4;Admin;EF;No;457;Ten Cad Choco Alme;Mini postres;330;1;330;34;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;35;;VF;Consumidor Final;Normal;4/12/2020 20:12;3;4;Admin;EF;No;12;Grido Batido;Mini postres;130;2;260;35;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;36;;VF;Consumidor Final;Normal;4/12/2020 20:12;3;4;Admin;EF;No;28;Pal.Frutilla Caja;Palitos;350;1;350;36;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;36;;VF;Consumidor Final;Normal;4/12/2020 20:12;3;4;Admin;EF;No;293;B Vainilla Sp Caja;Bon Bon;350;1;350;36;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;37;;VF;Consumidor Final;Normal;4/12/2020 20:13;3;4;Admin;EF;No;1468;Torta Grido Rellen;Postres;500;1;500;37;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;38;;VF;Consumidor Final;Normal;4/12/2020 20:14;3;4;Admin;EF;No;52;1/4  Kilo;Helado por kilo;160;1;160;38;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;39;;VF;Consumidor Final;Normal;4/12/2020 20:16;3;4;Admin;EF;No;1459;Grido Tops Mini Ro;Mini postres;15;4;60;39;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;40;;VF;Consumidor Final;Normal;4/12/2020 20:17;3;4;Admin;EF;No;52;1/4  Kilo;Helado por kilo;160;1;160;40;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;41;;VF;Consumidor Final;Normal;4/12/2020 20:17;3;4;Admin;EF;No;1470;Torta Con Oreo;Postres;500;1;500;41;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;42;;VL;Consumidor Final;Normal;4/12/2020 20:18;3;4;Admin;EF;No;16;B. Crocante Caja;Bon Bon;350;1;350;42;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;42;;VL;Consumidor Final;Normal;4/12/2020 20:18;3;4;Admin;EF;No;73;Familiar Nro 1;Familiar;550;1;550;42;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;43;;VF;Consumidor Final;Normal;4/12/2020 20:20;3;4;Admin;EF;No;18;B. Escoces Caja;Bon Bon;450;1;450;43;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;44;;VF;Consumidor Final;Normal;4/12/2020 20:21;3;4;Admin;EF;No;1470;Torta Con Oreo;Postres;500;1;500;44;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;44;;VF;Consumidor Final;Normal;4/12/2020 20:21;3;4;Admin;EF;No;1468;Torta Grido Rellen;Postres;500;1;500;44;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;45;;VF;Consumidor Final;Normal;4/12/2020 20:22;3;4;Admin;EF;No;50;1 Kilo;Helado por kilo;450;1;450;45;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;46;;VF;Consumidor Final;Normal;4/12/2020 20:23;3;4;Admin;EF;No;50;1 Kilo;Helado por kilo;450;1;450;46;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;46;;VF;Consumidor Final;Normal;4/12/2020 20:23;3;4;Admin;EF;No;74;Familiar Nro 2;Familiar;550;1;550;46;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;46;;VF;Consumidor Final;Normal;4/12/2020 20:23;3;4;Admin;EF;No;90;Tent. Choc.C/Almen;Tentación;280;1;280;46;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;47;;VF;Consumidor Final;Normal;4/12/2020 20:26;3;4;Admin;EF;No;32;Almendrado Caja;Almendrado;330;1;330;47;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;48;;VF;Consumidor Final;Normal;4/12/2020 20:29;3;4;Admin;EF;No;1470;Torta Con Oreo;Postres;500;1;500;48;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;49;;VF;Consumidor Final;Normal;4/12/2020 20:29;3;4;Admin;EF;No;50;1 Kilo;Helado por kilo;450;1;450;49;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;50;;VF;Consumidor Final;Normal;4/12/2020 20:31;3;4;Admin;EF;No;52;1/4  Kilo;Helado por kilo;160;2;320;50;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;51;;VL;Consumidor Final;Normal;4/12/2020 20:33;3;4;Admin;EF;No;28;Pal.Frutilla Caja;Palitos;350;1;350;51;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;52;;VF;Consumidor Final;Normal;4/12/2020 20:35;3;4;Admin;EF;No;18;B. Escoces Caja;Bon Bon;450;1;450;52;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;52;;VF;Consumidor Final;Normal;4/12/2020 20:35;3;4;Admin;EF;No;23;Pal.Bombon x 1;Palitos;50;1;50;52;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;53;;VF;Consumidor Final;Normal;4/12/2020 20:37;3;4;Admin;EF;No;52;1/4  Kilo;Helado por kilo;160;1;160;53;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;54;;VF;Consumidor Final;Normal;4/12/2020 20:40;3;4;Admin;EF;No;50;1 Kilo;Helado por kilo;450;1;450;54;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;55;;VF;Consumidor Final;Normal;4/12/2020 20:41;3;4;Admin;EF;No;23;Pal.Bombon x 1;Palitos;50;1;50;55;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;55;;VF;Consumidor Final;Normal;4/12/2020 20:41;3;4;Admin;EF;No;457;Ten Cad Choco Alme;Mini postres;330;1;330;55;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;56;;VF;Consumidor Final;Normal;4/12/2020 20:42;3;4;Admin;EF;No;31;Pal.Limon x 1;Palitos;30;4;120;56;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;57;;VF;Consumidor Final;Normal;4/12/2020 20:43;3;4;Admin;EF;No;19;B. Escoces x 1;Bon Bon;70;1;70;57;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;57;;VF;Consumidor Final;Normal;4/12/2020 20:43;3;4;Admin;EF;No;23;Pal.Bombon x 1;Palitos;50;2;100;57;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;58;;VF;Consumidor Final;Normal;4/12/2020 20:45;3;4;Admin;EF;No;50;1 Kilo;Helado por kilo;450;1;450;58;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;59;;VF;Consumidor Final;Normal;4/12/2020 20:46;3;4;Admin;EF;No;12;Grido Batido;Mini postres;130;3;390;59;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;60;;VF;Consumidor Final;Normal;4/12/2020 20:50;3;4;Admin;EF;No;52;1/4  Kilo;Helado por kilo;160;1;160;60;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;61;;VF;Consumidor Final;Normal;4/12/2020 20:51;3;4;Admin;EF;No;18;B. Escoces Caja;Bon Bon;450;1;450;61;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;61;;VF;Consumidor Final;Normal;4/12/2020 20:51;3;4;Admin;EF;No;13;Capuccino Grido;Cafetería;150;1;150;61;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;62;;VF;Consumidor Final;Normal;4/12/2020 20:55;3;4;Admin;EF;No;12;Grido Batido;Mini postres;130;1;130;62;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;62;;VF;Consumidor Final;Normal;4/12/2020 20:55;3;4;Admin;EF;No;199;Tent. D.De Leche;Tentación;280;1;280;62;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;63;;VF;Consumidor Final;Normal;4/12/2020 20:56;3;4;Admin;EF;No;19;B. Escoces x 1;Bon Bon;70;4;280;63;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;64;;VF;Consumidor Final;Normal;4/12/2020 20:57;3;4;Admin;EF;No;32;Almendrado Caja;Almendrado;330;1;330;64;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;65;;VF;Consumidor Final;Normal;4/12/2020 21:00;3;4;Admin;EF;No;17;B. Crocante x 1;Bon Bon;50;4;200;65;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;66;;VF;Consumidor Final;Normal;4/12/2020 21:01;3;4;Admin;EF;No;18;B. Escoces Caja;Bon Bon;450;1;450;66;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;66;;VF;Consumidor Final;Normal;4/12/2020 21:01;3;4;Admin;EF;No;29;Pal.Frutilla x 1;Palitos;30;1;30;66;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;66;;VF;Consumidor Final;Normal;4/12/2020 21:01;3;4;Admin;EF;No;23;Pal.Bombon x 1;Palitos;50;2;100;66;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;67;;VF;Consumidor Final;Normal;4/12/2020 21:03;3;4;Admin;EF;No;19;B. Escoces x 1;Bon Bon;70;3;210;67;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;67;;VF;Consumidor Final;Normal;4/12/2020 21:03;3;4;Admin;EF;No;29;Pal.Frutilla x 1;Palitos;30;4;120;67;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;68;;VF;Consumidor Final;Normal;4/12/2020 21:11;3;4;Admin;EF;No;29;Pal.Frutilla x 1;Palitos;30;4;120;68;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;68;;VF;Consumidor Final;Normal;4/12/2020 21:11;3;4;Admin;EF;No;52;1/4  Kilo;Helado por kilo;160;1;160;68;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;69;;VF;Consumidor Final;Normal;4/12/2020 21:15;3;4;Admin;EF;No;1470;Torta Con Oreo;Postres;500;1;500;69;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;70;;VF;Consumidor Final;Normal;4/12/2020 21:21;3;4;Admin;EF;No;12;Grido Batido;Mini postres;130;30;3900;70;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;71;;VF;Consumidor Final;Normal;4/12/2020 21:21;3;4;Admin;EF;No;12;Grido Batido;Mini postres;130;19;2470;71;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;72;;VF;Consumidor Final;Normal;4/12/2020 21:22;3;4;Admin;EF;No;32;Almendrado Caja;Almendrado;330;4;1320;72;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;73;;VF;Consumidor Final;Normal;4/12/2020 21:23;3;4;Admin;EF;No;18;B. Escoces Caja;Bon Bon;450;11;4950;73;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;74;;VF;Consumidor Final;Normal;4/12/2020 21:23;3;4;Admin;EF;No;3;Gigante 2b;Mini postres;110;26;2860;74;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;75;;VF;Consumidor Final;Normal;4/12/2020 21:24;3;4;Admin;EF;No;1468;Torta Grido Rellen;Postres;500;6;3000;75;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;76;;VF;Consumidor Final;Normal;4/12/2020 21:25;3;4;Admin;EF;No;457;Ten Cad Choco Alme;Mini postres;330;3;990;76;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;77;;VF;Consumidor Final;Normal;4/12/2020 21:25;3;4;Admin;EF;No;17;B. Crocante x 1;Bon Bon;50;2;100;77;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;78;;VF;Consumidor Final;Normal;4/12/2020 21:26;3;4;Admin;EF;No;90;Tent. Choc.C/Almen;Tentación;280;14;3920;78;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;79;;VF;Consumidor Final;Normal;4/12/2020 21:26;3;4;Admin;EF;No;74;Familiar Nro 2;Familiar;550;9;4950;79;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;80;;VF;Consumidor Final;Normal;4/12/2020 21:27;3;4;Admin;EF;No;36;Crocantino;Mini postres;380;2;760;80;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;81;;VF;Consumidor Final;Normal;4/12/2020 21:27;3;4;Admin;EF;No;52;1/4  Kilo;Helado por kilo;160;25;4000;81;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;82;;VF;Consumidor Final;Normal;4/12/2020 21:28;3;4;Admin;EF;No;19;B. Escoces x 1;Bon Bon;70;17;1190;82;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;83;;VF;Consumidor Final;Normal;4/12/2020 21:28;3;4;Admin;EF;No;51;1/2  Kilo;Helado por kilo;260;12;3120;83;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;84;;VF;Consumidor Final;Normal;4/12/2020 21:28;3;4;Admin;EF;No;50;1 Kilo;Helado por kilo;450;12;5400;84;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;85;;VF;Consumidor Final;Normal;4/12/2020 21:30;3;4;Admin;EF;No;34;Casatta Caja;Comidas rápidas;330;2;660;85;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;85;;VF;Consumidor Final;Normal;4/12/2020 21:30;3;4;Admin;EF;No;29;Pal.Frutilla x 1;Palitos;30;33;990;85;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;85;;VF;Consumidor Final;Normal;4/12/2020 21:30;3;4;Admin;EF;No;28;Pal.Frutilla Caja;Palitos;350;12;4200;85;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;86;;VF;Consumidor Final;Normal;4/12/2020 21:34;3;4;Admin;EF;No;13;Capuccino Grido;Cafetería;150;4;600;86;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;86;;VF;Consumidor Final;Normal;4/12/2020 21:34;3;4;Admin;EF;No;16;B. Crocante Caja;Bon Bon;350;10;3500;86;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
Pilar III;1;1;86;;VF;Consumidor Final;Normal;4/12/2020 21:34;3;4;Admin;EF;No;21;B. Suizo x 1;Bon Bon;70;1;70;86;1;3/12/2020 00:00;31/12/2020 23:55;TODAS;;;;;;1
